dataset_label,seed,sampling_strategy,poison_rate_percent,feature_selector,value_selector,selector,source,target_features,defense_method,sanitizer,defense_setting,detector_feature_mode,detector_top_k,detector_contamination,detector_removal_percent,benign_rows_scored,selected_features,total_poisoned_rows,total_clean_rows,removed_poisoned_rows,removed_clean_rows,removed_rows,poison_recall,poison_recall_percent,clean_false_positive_rate,clean_false_positive_rate_percent,poison_removal_precision_percent,detector_removal_budget_percent,attack_effectiveness_percent,backdoored_clean_accuracy_percent,clean_model_original_test_accuracy_percent,detector_metadata_path,source_mtime
EMBER2024 WIN64,43.0,distribution_based_distance,1.0,shap_largest_abs,min_population_new,MinPopulation*,Severi-derived,problem_space_conservative,spectral_signature,Spectral Signature,spectral_signature_hybrid_top32_scaled_remove2p,hybrid,32,auto,2.0,104000,32,2080,101920,1422,658,2080,0.6836538461538462,68.36538461538461,0.006456043956043956,0.6456043956043955,68.36538461538461,2.0,99.17752580808936,98.8525977322728,100.0,/Users/falcon/Machine Learning/Defense GMM-Maha/results/experiment 1/ember2024_win64/seed_43/poison_rate_0p01/distribution_based_distance-defense/attack_artifacts/ember2024_win64__lightgbm__shap_largest_abs__min_population_new__problem_space_conservative/severi_detectors/spectral_signature_hybrid_top32_scaled_remove2p/severi_detector_metadata.json,1789643609.0379965
EMBER2024 WIN64,43.0,distribution_based_distance,1.0,shap_largest_abs,quantile_95,Quantile95,This work,problem_space_conservative,hdbscan,HDBSCAN,hdbscan_hybrid_top32_scaled_mcs0p5pct_ms0p1pct_tmax10pct_keep0p2,hybrid,32,auto,,104000,32,2080,101920,912,42958,43870,0.43846153846153846,43.84615384615385,0.4214874411302983,42.14874411302983,2.0788693868247092,42.18269230769231,96.82179725841937,98.81536639025217,100.0,/Users/falcon/Machine Learning/Defense GMM-Maha/results/experiment 1/ember2024_win64/seed_43/poison_rate_0p01/distribution_based_distance-defense/attack_artifacts/ember2024_win64__lightgbm__shap_largest_abs__quantile_95__problem_space_conservative/severi_detectors/hdbscan_hybrid_top32_scaled_mcs0p5pct_ms0p1pct_tmax10pct_keep0p2/severi_detector_metadata.json,1789644445.5488253
EMBER2024 WIN64,43.0,distribution_based_distance,1.0,shap_largest_abs,quantile_95,Quantile95,This work,problem_space_conservative,isolation_forest,Isolation Forest,isolation_forest_hybrid_top32_scaled_contam0p02,hybrid,32,0.02,,104000,32,2080,101920,631,1448,2079,0.3033653846153846,30.33653846153846,0.014207221350078493,1.4207221350078494,30.35113035113035,1.9990384615384615,96.82179725841937,98.81536639025217,100.0,/Users/falcon/Machine Learning/Defense GMM-Maha/results/experiment 1/ember2024_win64/seed_43/poison_rate_0p01/distribution_based_distance-defense/attack_artifacts/ember2024_win64__lightgbm__shap_largest_abs__quantile_95__problem_space_conservative/severi_detectors/isolation_forest_hybrid_top32_scaled_contam0p02/severi_detector_metadata.json,1789643997.7547228
EMBER2024 WIN64,43.0,distribution_based_distance,1.0,shap_largest_abs,quantile_95,Quantile95,This work,problem_space_conservative,spectral_signature,Spectral Signature,spectral_signature_hybrid_top32_scaled_remove2p,hybrid,32,auto,2.0,104000,32,2080,101920,206,1874,2080,0.09903846153846153,9.903846153846153,0.01838697017268446,1.838697017268446,9.903846153846153,2.0,96.82179725841937,98.81536639025217,100.0,/Users/falcon/Machine Learning/Defense GMM-Maha/results/experiment 1/ember2024_win64/seed_43/poison_rate_0p01/distribution_based_distance-defense/attack_artifacts/ember2024_win64__lightgbm__shap_largest_abs__quantile_95__problem_space_conservative/severi_detectors/spectral_signature_hybrid_top32_scaled_remove2p/severi_detector_metadata.json,1789644002.9319282
EMBER2024 WIN64,43.0,random,1.0,shap_largest_abs,argmin_Nv_sum_abs_shap,CountAbsSHAP*,Severi-derived,problem_space_conservative,hdbscan,HDBSCAN,hdbscan_hybrid_top32_scaled_mcs0p5pct_ms0p1pct_tmax10pct_keep0p2,hybrid,32,auto,,104000,32,2080,101920,1241,44886,46127,0.5966346153846154,59.66346153846154,0.44040423861852435,44.04042386185243,2.690398248314436,44.35288461538461,15.643932983584364,98.62413267896429,100.0,/Users/falcon/Machine Learning/Defense GMM-Maha/results/experiment 1/ember2024_win64/seed_43/poison_rate_0p01/random-defense/attack_artifacts/ember2024_win64__lightgbm__shap_largest_abs__argmin_Nv_sum_abs_shap__problem_space_conservative/severi_detectors/hdbscan_hybrid_top32_scaled_mcs0p5pct_ms0p1pct_tmax10pct_keep0p2/severi_detector_metadata.json,1789642219.3758106
EMBER2024 WIN64,43.0,random,1.0,shap_largest_abs,argmin_Nv_sum_abs_shap,CountAbsSHAP*,Severi-derived,problem_space_conservative,isolation_forest,Isolation Forest,isolation_forest_hybrid_top32_scaled_contam0p02,hybrid,32,0.02,,104000,32,2080,101920,2080,0,2080,1.0,100.0,0.0,0.0,100.0,2.0,15.643932983584364,98.62413267896429,100.0,/Users/falcon/Machine Learning/Defense GMM-Maha/results/experiment 1/ember2024_win64/seed_43/poison_rate_0p01/random-defense/attack_artifacts/ember2024_win64__lightgbm__shap_largest_abs__argmin_Nv_sum_abs_shap__problem_space_conservative/severi_detectors/isolation_forest_hybrid_top32_scaled_contam0p02/severi_detector_metadata.json,1789641780.8639736
EMBER2024 WIN64,43.0,random,1.0,shap_largest_abs,argmin_Nv_sum_abs_shap,CountAbsSHAP*,Severi-derived,problem_space_conservative,spectral_signature,Spectral Signature,spectral_signature_hybrid_top32_scaled_remove2p,hybrid,32,auto,2.0,104000,32,2080,101920,4,2076,2080,0.0019230769230769232,0.19230769230769232,0.020368916797488226,2.0368916797488223,0.19230769230769232,2.0,15.643932983584364,98.62413267896429,100.0,/Users/falcon/Machine Learning/Defense GMM-Maha/results/experiment 1/ember2024_win64/seed_43/poison_rate_0p01/random-defense/attack_artifacts/ember2024_win64__lightgbm__shap_largest_abs__argmin_Nv_sum_abs_shap__problem_space_conservative/severi_detectors/spectral_signature_hybrid_top32_scaled_remove2p/severi_detector_metadata.json,1789641785.6360378
EMBER2024 WIN64,43.0,random,1.0,shap_largest_abs,benign_prototype,BenignPrototype,This work,problem_space_conservative,hdbscan,HDBSCAN,hdbscan_hybrid_top32_scaled_mcs0p5pct_ms0p1pct_tmax10pct_keep0p2,hybrid,32,auto,,104000,32,2080,101920,862,42472,43334,0.41442307692307695,41.44230769230769,0.4167189952904239,41.67189952904239,1.98920016615129,41.667307692307695,2.7178879675071923,98.55982399729226,100.0,/Users/falcon/Machine Learning/Defense GMM-Maha/results/experiment 1/ember2024_win64/seed_43/poison_rate_0p01/random-defense/attack_artifacts/ember2024_win64__lightgbm__shap_largest_abs__benign_prototype__problem_space_conservative/severi_detectors/hdbscan_hybrid_top32_scaled_mcs0p5pct_ms0p1pct_tmax10pct_keep0p2/severi_detector_metadata.json,1789642235.7416964
EMBER2024 WIN64,43.0,random,1.0,shap_largest_abs,benign_prototype,BenignPrototype,This work,problem_space_conservative,isolation_forest,Isolation Forest,isolation_forest_hybrid_top32_scaled_contam0p02,hybrid,32,0.02,,104000,32,2080,101920,0,2080,2080,0.0,0.0,0.02040816326530612,2.0408163265306123,0.0,2.0,2.7178879675071923,98.55982399729226,100.0,/Users/falcon/Machine Learning/Defense GMM-Maha/results/experiment 1/ember2024_win64/seed_43/poison_rate_0p01/random-defense/attack_artifacts/ember2024_win64__lightgbm__shap_largest_abs__benign_prototype__problem_space_conservative/severi_detectors/isolation_forest_hybrid_top32_scaled_contam0p02/severi_detector_metadata.json,1789641780.877827
EMBER2024 WIN64,43.0,random,1.0,shap_largest_abs,benign_prototype,BenignPrototype,This work,problem_space_conservative,spectral_signature,Spectral Signature,spectral_signature_hybrid_top32_scaled_remove2p,hybrid,32,auto,2.0,104000,32,2080,101920,0,2080,2080,0.0,0.0,0.02040816326530612,2.0408163265306123,0.0,2.0,2.7178879675071923,98.55982399729226,100.0,/Users/falcon/Machine Learning/Defense GMM-Maha/results/experiment 1/ember2024_win64/seed_43/poison_rate_0p01/random-defense/attack_artifacts/ember2024_win64__lightgbm__shap_largest_abs__benign_prototype__problem_space_conservative/severi_detectors/spectral_signature_hybrid_top32_scaled_remove2p/severi_detector_metadata.json,1789641785.6017134
