sampling_strategy,value_selector,selector,source,defense_method,sanitizer,poison_recall_percent_count,poison_recall_percent_mean,poison_recall_percent_std,poison_recall_percent_min,poison_recall_percent_max,removed_poisoned_rows_count,removed_poisoned_rows_mean,removed_poisoned_rows_std,removed_poisoned_rows_min,removed_poisoned_rows_max,removed_clean_rows_count,removed_clean_rows_mean,removed_clean_rows_std,removed_clean_rows_min,removed_clean_rows_max,removed_rows_count,removed_rows_mean,removed_rows_std,removed_rows_min,removed_rows_max,clean_false_positive_rate_percent_count,clean_false_positive_rate_percent_mean,clean_false_positive_rate_percent_std,clean_false_positive_rate_percent_min,clean_false_positive_rate_percent_max,poison_removal_precision_percent_count,poison_removal_precision_percent_mean,poison_removal_precision_percent_std,poison_removal_precision_percent_min,poison_removal_precision_percent_max,attack_effectiveness_percent_count,attack_effectiveness_percent_mean,attack_effectiveness_percent_std,attack_effectiveness_percent_min,attack_effectiveness_percent_max,backdoored_clean_accuracy_percent_count,backdoored_clean_accuracy_percent_mean,backdoored_clean_accuracy_percent_std,backdoored_clean_accuracy_percent_min,backdoored_clean_accuracy_percent_max
distribution_based_distance,corr_count_abs_shap,CorrCountAbsSHAP,This work,isolation_forest,Isolation Forest,1,8.125,,8.125,8.125,1,169.0,,169,169,1,1910.0,,1910,1910,1,2079.0,,2079,2079,1,1.8740188383045526,,1.8740188383045526,1.8740188383045526,1,8.128908128908128,,8.128908128908128,8.128908128908128,1,99.26045016077173,,99.26045016077173,99.26045016077173,1,98.79505838551364,,98.79505838551364,98.79505838551364
distribution_based_distance,corr_count_abs_shap,CorrCountAbsSHAP,This work,spectral_signature,Spectral Signature,1,1.25,,1.25,1.25,1,26.0,,26,26,1,2054.0,,2054,2054,1,2080.0,,2080,2080,1,2.0153061224489797,,2.0153061224489797,2.0153061224489797,1,1.25,,1.25,1.25,1,99.26045016077173,,99.26045016077173,99.26045016077173,1,98.79505838551364,,98.79505838551364,98.79505838551364
distribution_based_distance,frequency_bounded_signed_shap,FrequencyBoundedSignedSHAP,This work,hdbscan,HDBSCAN,1,40.48076923076923,,40.48076923076923,40.48076923076923,1,842.0,,842,842,1,41888.0,,41888,41888,1,42730.0,,42730,42730,1,41.098901098901095,,41.098901098901095,41.098901098901095,1,1.9705125204774163,,1.9705125204774163,1.9705125204774163,1,95.77931968184126,,95.77931968184126,95.77931968184126,1,98.82890506007784,,98.82890506007784,98.82890506007784
distribution_based_distance,frequency_bounded_signed_shap,FrequencyBoundedSignedSHAP,This work,isolation_forest,Isolation Forest,1,91.97115384615384,,91.97115384615384,91.97115384615384,1,1913.0,,1913,1913,1,167.0,,167,167,1,2080.0,,2080,2080,1,0.16385400313971743,,0.16385400313971743,0.16385400313971743,1,91.97115384615384,,91.97115384615384,91.97115384615384,1,95.77931968184126,,95.77931968184126,95.77931968184126,1,98.82890506007784,,98.82890506007784,98.82890506007784
distribution_based_distance,frequency_bounded_signed_shap,FrequencyBoundedSignedSHAP,This work,spectral_signature,Spectral Signature,1,10.192307692307692,,10.192307692307692,10.192307692307692,1,212.0,,212,212,1,1868.0,,1868,1868,1,2080.0,,2080,2080,1,1.8328100470957613,,1.8328100470957613,1.8328100470957613,1,10.192307692307692,,10.192307692307692,10.192307692307692,1,95.77931968184126,,95.77931968184126,95.77931968184126,1,98.82890506007784,,98.82890506007784,98.82890506007784
distribution_based_distance,low_shap_signed,LowSHAPSigned,This work,hdbscan,HDBSCAN,1,58.99038461538461,,58.99038461538461,58.99038461538461,1,1227.0,,1227,1227,1,43957.0,,43957,43957,1,45184.0,,45184,45184,1,43.12892464678179,,43.12892464678179,43.12892464678179,1,2.715563031161473,,2.715563031161473,2.715563031161473,1,93.49636148248436,,93.49636148248436,93.49636148248436,1,98.8390590624471,,98.8390590624471,98.8390590624471
distribution_based_distance,low_shap_signed,LowSHAPSigned,This work,isolation_forest,Isolation Forest,1,99.90384615384616,,99.90384615384616,99.90384615384616,1,2078.0,,2078,2078,1,2.0,,2,2,1,2080.0,,2080,2080,1,0.0019623233908948193,,0.0019623233908948193,0.0019623233908948193,1,99.90384615384616,,99.90384615384616,99.90384615384616,1,93.49636148248436,,93.49636148248436,93.49636148248436,1,98.8390590624471,,98.8390590624471,98.8390590624471
distribution_based_distance,low_shap_signed,LowSHAPSigned,This work,spectral_signature,Spectral Signature,1,68.36538461538461,,68.36538461538461,68.36538461538461,1,1422.0,,1422,1422,1,658.0,,658,658,1,2080.0,,2080,2080,1,0.6456043956043955,,0.6456043956043955,0.6456043956043955,1,68.36538461538461,,68.36538461538461,68.36538461538461,1,93.49636148248436,,93.49636148248436,93.49636148248436,1,98.8390590624471,,98.8390590624471,98.8390590624471
distribution_based_distance,min_population_new,MinPopulation*,Severi-derived,hdbscan,HDBSCAN,1,65.76923076923077,,65.76923076923077,65.76923076923077,1,1368.0,,1368,1368,1,43803.0,,43803,43803,1,45171.0,,45171,45171,1,42.97782574568289,,42.97782574568289,42.97782574568289,1,3.0284917314206017,,3.0284917314206017,3.0284917314206017,1,99.17752580808936,,99.17752580808936,99.17752580808936,1,98.8525977322728,,98.8525977322728,98.8525977322728
distribution_based_distance,min_population_new,MinPopulation*,Severi-derived,isolation_forest,Isolation Forest,1,100.0,,100.0,100.0,1,2080.0,,2080,2080,1,0.0,,0,0,1,2080.0,,2080,2080,1,0.0,,0.0,0.0,1,100.0,,100.0,100.0,1,99.17752580808936,,99.17752580808936,99.17752580808936,1,98.8525977322728,,98.8525977322728,98.8525977322728
