dataset,seed,sampling,selector,asr_percent,original_clean_accuracy_percent,backdoored_clean_accuracy_percent,clean_accuracy_delta_pp,original_watermarked_malware_accuracy_percent,backdoored_watermarked_malware_accuracy_percent,poison_rows,watermark_size
EMBER2018,43,Random,Quantile95,60.686698834103005,100.0,99.75460249746318,-0.24539750253681802,99.87885439748185,39.19215556337882,1200,17
EMBER2018,44,Random,Quantile95,56.69465814842043,100.0,99.69454424966608,-0.3054557503339197,99.69557969288752,43.000921544467104,1200,17
EMBER2024 Win64,42,Distribution-based,BenignPrototype,54.11956688028013,100.0,99.83171565044452,-0.16828434955547777,99.50534600282174,45.38577912254161,2080,19
EMBER2024 Win64,43,Distribution-based,BenignPrototype,58.189662493842675,100.0,99.85901856538652,-0.14098143461347945,99.42588283253784,41.236220338695155,2080,19
EMBER2024 Win64,44,Distribution-based,BenignPrototype,62.57794844782764,100.0,99.85557235824852,-0.14442764175147715,99.4171919868146,36.83924353898696,2080,19
EMBER2024 Win64,42,Distribution-based,CombinedSHAP*,65.63089632664162,100.0,99.85381359533564,-0.1461864046643626,99.5529415764334,33.92204524979177,2080,19
EMBER2024 Win64,43,Distribution-based,CombinedSHAP*,91.88762250946954,100.0,99.88449713790702,-0.11550286209298122,98.82968423555788,6.94206172608836,2080,19
EMBER2024 Win64,44,Distribution-based,CombinedSHAP*,54.54437326899223,100.0,99.83348342480416,-0.16651657519584262,99.46986559733574,44.9254923283435,2080,19
EMBER2024 Win64,42,Distribution-based,CorrCountAbsSHAP,94.65229733634771,100.0,99.84701422767682,-0.15298577232317712,99.8300158085298,5.177718472182087,2080,19
EMBER2024 Win64,43,Distribution-based,CorrCountAbsSHAP,60.06318685985087,100.0,99.88279856640564,-0.11720143359436008,99.49722283559528,39.43403597574439,2080,19
EMBER2024 Win64,44,Distribution-based,CorrCountAbsSHAP,79.41311402987104,100.0,99.85217406079552,-0.1478259392044805,99.28465838614854,19.871544356277504,2080,19
EMBER2024 Win64,42,Distribution-based,CountAbsSHAP*,99.59033809855684,100.0,99.85551343725034,-0.14448656274966254,99.6430331979126,0.0526950993557599,2080,19
EMBER2024 Win64,43,Distribution-based,CountAbsSHAP*,99.4904285495898,100.0,99.90318142442206,-0.0968185755779416,99.73672141728808,0.2462928676982657,2080,19
EMBER2024 Win64,44,Distribution-based,CountAbsSHAP*,98.39260530474232,100.0,99.87936044041936,-0.12063955958063843,98.4248891305456,0.0322838258032725,2080,19
EMBER2024 Win64,42,Distribution-based,FrequencyBoundedSignedSHAP,96.06996549320912,100.0,99.86401264682384,-0.13598735317616217,96.3079433612674,0.2379778680582706,2080,19
EMBER2024 Win64,43,Distribution-based,FrequencyBoundedSignedSHAP,79.63582627010683,100.0,99.87770285190156,-0.12229714809843983,94.72763405975574,15.091807789648906,2080,19
EMBER2024 Win64,44,Distribution-based,FrequencyBoundedSignedSHAP,93.62139568076394,100.0,99.85557235824852,-0.14442764175147715,93.65367950656722,0.0322838258032725,2080,19
EMBER2024 Win64,42,Distribution-based,LowSHAPSigned,96.9266858182189,100.0,99.86231280490917,-0.13768719509083382,96.97088170800116,0.0441958897822502,2080,19
EMBER2024 Win64,43,Distribution-based,LowSHAPSigned,90.89225960966829,100.0,99.87430570889882,-0.12569429110118335,94.27071832588793,3.3784587162196593,2080,19
EMBER2024 Win64,44,Distribution-based,LowSHAPSigned,93.89325947700202,100.0,99.857271506975,-0.1427284930250039,93.91874670789934,0.0254872308973204,2080,19
