dataset_label,seed,sampling_strategy,poison_rate_train,poison_rate_percent,feature_selector,value_selector,selector,source,target_features,defense_method,sanitizer,defense_setting,detector_feature_mode,detector_top_k,detector_contamination,detector_removal_percent,benign_rows_scored,selected_features,total_poisoned_rows,total_clean_rows,removed_poisoned_rows,removed_clean_rows,removed_rows,poison_recall,poison_recall_percent,clean_false_positive_rate,clean_false_positive_rate_percent,poison_removal_precision_percent,detector_removal_budget_percent,detector_metadata_path,source_mtime,asr_percent,backdoored_clean_accuracy_percent
EMBER2018,42,random,0.01,1.0,shap_largest_abs,frequency_bounded_signed_shap,FrequencyBoundedSignedSHAP,This work,problem_space_conservative,spectral_signature,Spectral Signature,spectral_signature_hybrid_top32_scaled_remove2p,hybrid,32,auto,2.0,60000,32,1200,58800,13,1187,1200,0.0108333333333333,1.0833333333333337,0.0201870748299319,2.0187074829931975,1.0833333333333337,2.0,/Users/falcon/Machine Learning/Defense GMM-Maha/results/experiment 2/ember2018/seed_42/poison_rate_0p01/random-defense/attack_artifacts/ember__lightgbm__shap_largest_abs__frequency_bounded_signed_shap__problem_space_conservative/severi_detectors/spectral_signature_hybrid_top32_scaled_remove2p/severi_detector_metadata.json,1789636080.4221292,67.21708612425331,99.70494756348803
EMBER2018,42,random,0.01,1.0,shap_largest_abs,low_shap_signed,LowSHAPSigned,This work,problem_space_conservative,spectral_signature,Spectral Signature,spectral_signature_hybrid_top32_scaled_remove2p,hybrid,32,auto,2.0,60000,32,1200,58800,30,1170,1200,0.025,2.5,0.0198979591836734,1.9897959183673468,2.5,2.0,/Users/falcon/Machine Learning/Defense GMM-Maha/results/experiment 2/ember2018/seed_42/poison_rate_0p01/random-defense/attack_artifacts/ember__lightgbm__shap_largest_abs__low_shap_signed__problem_space_conservative/severi_detectors/spectral_signature_hybrid_top32_scaled_remove2p/severi_detector_metadata.json,1789636055.5089478,65.04405081113538,99.75257006201278
EMBER2018,42,random,0.01,1.0,shap_largest_abs,min_population_new,MinPopulation*,Severi-derived,problem_space_conservative,spectral_signature,Spectral Signature,spectral_signature_hybrid_top32_scaled_remove2p,hybrid,32,auto,2.0,60000,32,1200,58800,0,1200,1200,0.0,0.0,0.0204081632653061,2.0408163265306123,0.0,2.0,/Users/falcon/Machine Learning/Defense GMM-Maha/results/experiment 2/ember2018/seed_42/poison_rate_0p01/random-defense/attack_artifacts/ember__lightgbm__shap_largest_abs__min_population_new__problem_space_conservative/severi_detectors/spectral_signature_hybrid_top32_scaled_remove2p/severi_detector_metadata.json,1789636083.3649375,70.31565434348245,99.70391229178098
EMBER2018,42,random,0.01,1.0,shap_largest_abs,quantile_95,Quantile95,This work,problem_space_conservative,spectral_signature,Spectral Signature,spectral_signature_hybrid_top32_scaled_remove2p,hybrid,32,auto,2.0,60000,32,1200,58800,11,1189,1200,0.0091666666666666,0.9166666666666666,0.0202210884353741,2.022108843537415,0.9166666666666666,2.0,/Users/falcon/Machine Learning/Defense GMM-Maha/results/experiment 2/ember2018/seed_42/poison_rate_0p01/random-defense/attack_artifacts/ember__lightgbm__shap_largest_abs__quantile_95__problem_space_conservative/severi_detectors/spectral_signature_hybrid_top32_scaled_remove2p/severi_detector_metadata.json,1789636097.4149668,56.90370937852639,99.69666538983157
EMBER2018,43,random,0.01,1.0,shap_largest_abs,argmin_Nv_sum_abs_shap,CountAbsSHAP*,Severi-derived,problem_space_conservative,hdbscan,HDBSCAN,hdbscan_hybrid_top32_scaled_mcs0p5pct_ms0p1pct_tmax10pct_keep0p2,hybrid,32,auto,,60000,32,1200,58800,832,24335,25167,0.6933333333333334,69.33333333333334,0.4138605442176871,41.38605442176871,3.3059164779274446,41.945,/Users/falcon/Machine Learning/Defense GMM-Maha/results/experiment 2/ember2018/seed_43/poison_rate_0p01/random-defense/attack_artifacts/ember__lightgbm__shap_largest_abs__argmin_Nv_sum_abs_shap__problem_space_conservative/severi_detectors/hdbscan_hybrid_top32_scaled_mcs0p5pct_ms0p1pct_tmax10pct_keep0p2/severi_detector_metadata.json,1789636315.4459472,93.4519248690178,99.72043322495806
EMBER2018,43,random,0.01,1.0,shap_largest_abs,benign_prototype,BenignPrototype,This work,problem_space_conservative,hdbscan,HDBSCAN,hdbscan_hybrid_top32_scaled_mcs0p5pct_ms0p1pct_tmax10pct_keep0p2,hybrid,32,auto,,60000,32,1200,58800,489,25105,25594,0.4075,40.75,0.4269557823129252,42.69557823129252,1.9106040478237087,42.656666666666666,/Users/falcon/Machine Learning/Defense GMM-Maha/results/experiment 2/ember2018/seed_43/poison_rate_0p01/random-defense/attack_artifacts/ember__lightgbm__shap_largest_abs__benign_prototype__problem_space_conservative/severi_detectors/hdbscan_hybrid_top32_scaled_mcs0p5pct_ms0p1pct_tmax10pct_keep0p2/severi_detector_metadata.json,1789636400.0367486,8.896436041334466,99.73078754995962
EMBER2018,43,random,0.01,1.0,combined_shap,combined_shap,CombinedSHAP*,Severi-derived,problem_space_conservative,hdbscan,HDBSCAN,hdbscan_hybrid_top32_scaled_mcs0p5pct_ms0p1pct_tmax10pct_keep0p2,hybrid,32,auto,,60000,32,1200,58800,575,25891,26466,0.4791666666666667,47.91666666666667,0.4403231292517007,44.03231292517007,2.172598806015265,44.11,/Users/falcon/Machine Learning/Defense GMM-Maha/results/experiment 2/ember2018/seed_43/poison_rate_0p01/random-defense/attack_artifacts/ember__lightgbm__combined_shap__combined_shap__problem_space_conservative/severi_detectors/hdbscan_hybrid_top32_scaled_mcs0p5pct_ms0p1pct_tmax10pct_keep0p2/severi_detector_metadata.json,1789636394.681783,45.3519435068028,99.73389384746008
EMBER2018,43,random,0.01,1.0,shap_largest_abs,corr_count_abs_shap,CorrCountAbsSHAP,This work,problem_space_conservative,hdbscan,HDBSCAN,hdbscan_hybrid_top32_scaled_mcs0p5pct_ms0p1pct_tmax10pct_keep0p2,hybrid,32,auto,,60000,32,1200,58800,320,26014,26334,0.2666666666666666,26.666666666666668,0.4424149659863945,44.24149659863946,1.215159109895952,43.89,/Users/falcon/Machine Learning/Defense GMM-Maha/results/experiment 2/ember2018/seed_43/poison_rate_0p01/random-defense/attack_artifacts/ember__lightgbm__shap_largest_abs__corr_count_abs_shap__problem_space_conservative/severi_detectors/hdbscan_hybrid_top32_scaled_mcs0p5pct_ms0p1pct_tmax10pct_keep0p2/severi_detector_metadata.json,1789636436.0990937,54.75470604071321,99.72250408995838
EMBER2018,43,random,0.01,1.0,shap_largest_abs,frequency_bounded_signed_shap,FrequencyBoundedSignedSHAP,This work,problem_space_conservative,hdbscan,HDBSCAN,hdbscan_hybrid_top32_scaled_mcs0p5pct_ms0p1pct_tmax10pct_keep0p2,hybrid,32,auto,,60000,32,1200,58800,49,25791,25840,0.0408333333333333,4.083333333333333,0.4386224489795918,43.86224489795919,0.1896284829721362,43.06666666666666,/Users/falcon/Machine Learning/Defense GMM-Maha/results/experiment 2/ember2018/seed_43/poison_rate_0p01/random-defense/attack_artifacts/ember__lightgbm__shap_largest_abs__frequency_bounded_signed_shap__problem_space_conservative/severi_detectors/hdbscan_hybrid_top32_scaled_mcs0p5pct_ms0p1pct_tmax10pct_keep0p2/severi_detector_metadata.json,1789636508.8406658,68.26192300523928,99.71836235995777
EMBER2018,43,random,0.01,1.0,shap_largest_abs,low_shap_signed,LowSHAPSigned,This work,problem_space_conservative,hdbscan,HDBSCAN,hdbscan_hybrid_top32_scaled_mcs0p5pct_ms0p1pct_tmax10pct_keep0p2,hybrid,32,auto,,60000,32,1200,58800,408,25014,25422,0.34,34.0,0.4254081632653061,42.54081632653061,1.6049091338211,42.370000000000005,/Users/falcon/Machine Learning/Defense GMM-Maha/results/experiment 2/ember2018/seed_43/poison_rate_0p01/random-defense/attack_artifacts/ember__lightgbm__shap_largest_abs__low_shap_signed__problem_space_conservative/severi_detectors/hdbscan_hybrid_top32_scaled_mcs0p5pct_ms0p1pct_tmax10pct_keep0p2/severi_detector_metadata.json,1789636467.932473,66.66114435999917,99.70386630495558
